iter	Passed	Remaining
0	146	146131
1	148	74018
2	150	49875
3	151	37823
4	153	30609
5	156	25864
6	157	22394
7	159	19794
8	161	17793
9	163	16208
10	165	14879
11	167	13780
12	169	12849
13	171	12057
14	172	11354
15	175	10764
16	176	10226
17	178	9745
18	180	9313
19	182	8927
20	183	8577
21	185	8266
22	187	7974
23	189	7710
24	191	7457
25	193	7241
26	195	7029
27	196	6833
28	199	6664
29	200	6495
30	202	6336
31	204	6183
32	206	6046
33	208	5912
34	209	5787
35	211	5673
36	213	5560
37	215	5457
38	217	5354
39	219	5256
40	220	5166
41	223	5091
42	224	5004
43	226	4928
44	228	4851
45	230	4775
46	231	4693
47	233	4626
48	235	4562
49	236	4486
50	237	4411
51	238	4342
52	239	4271
53	240	4205
54	241	4143
55	241	4078
56	242	4017
57	244	3974
58	246	3932
59	248	3886
60	248	3828
61	250	3787
62	251	3744
63	252	3693
64	253	3649
65	254	3607
66	256	3567
67	256	3521
68	258	3489
69	260	3459
70	261	3423
71	263	3393
72	265	3366
73	266	3330
74	267	3295
75	268	3262
76	269	3229
77	270	3197
78	271	3169
79	273	3143
80	273	3107
81	275	3085
82	276	3055
83	278	3034
84	279	3007
85	281	2987
86	282	2959
87	283	2933
88	283	2906
89	285	2883
90	285	2856
91	286	2827
92	288	2810
93	289	2794
94	292	2782
95	293	2759
96	294	2737
97	295	2720
98	296	2698
99	298	2685
100	299	2663
101	301	2650
102	302	2637
103	304	2625
104	305	2606
105	307	2593
106	309	2579
107	310	2567
108	311	2547
109	312	2529
110	314	2516
111	315	2504
112	317	2492
113	318	2471
114	319	2459
115	321	2449
116	323	2438
117	324	2423
118	325	2407
119	326	2394
120	327	2376
121	328	2363
122	330	2353
123	331	2339
124	333	2331
125	335	2325
126	336	2312
127	337	2297
128	339	2289
129	340	2280
130	342	2270
131	342	2255
132	344	2248
133	346	2240
134	348	2234
135	349	2218
136	351	2211
137	352	2203
138	354	2198
139	355	2185
140	356	2172
141	357	2158
142	358	2147
143	359	2135
144	360	2126
145	361	2114
146	362	2101
147	363	2094
148	365	2088
149	367	2084
150	368	2073
151	369	2062
152	370	2051
153	372	2044
154	373	2033
155	374	2025
156	376	2021
157	378	2018
158	380	2012
159	381	2001
160	381	1988
161	382	1977
162	382	1965
163	383	1956
164	386	1954
165	387	1945
166	388	1939
167	390	1934
168	392	1930
169	393	1920
